Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/08/2014,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,BMJ PUBLISHING GROUP LTD,17655841," 210,900.00 ",Library service - access to BMJ Journals online,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17694987," 98,350.20 ",Service charge payment for office space at 10 Spring Gardens 01/04/14-30/06/14  + managed service & catering 01/07/14-30/09/14,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Contr Other External,Fully Recovered: International Commercial Activity,CENTER FOR GLOBAL DEVELOPMENT,17679305," 118,974.40 ",International Decision support Initiative Project,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,CHAPS Control Account,Balance Sheet,DAC BEACHCROFT LLP,17692196," (57,500.00)",Dilpaidation fee re Liverpool office closure,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Legal / Prof Fees,NP- Corporate Office,DAC BEACHCROFT LLP,17692196," 57,500.00 ",Dilpaidation fee re Liverpool office closure,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Computer Software/License,NP - Commissioned Content - Core,EDUSERV,17699702," 68,750.00 ",Provision of Athens Service from 01/04/2014  to 30/06/2014,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Furniture & Fittings,Office Move (Revenue costs),GUNNEBO UK LTD,17689195," 55,070.40 ",Supply and installation of high security revolving door in Machester office,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17667551," 53,932.72 ",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17689197," 99,800.29 ","Rail, hotel & flight costs for July 2014",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,17694989," 66,699.60 ",National Collaborating Centre work on Mental Health for Guidelines Quarter 1 2014/15 - additional costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,17699705," 266,800.80 ",National Collaborating Centre work on Mental Health for Guidelines Quarter 1 2014/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Contr Other External,NP - BNF,RPS PUBLISHING,17658867," 985,000.00 ",BNF Services fee Q2 (Jul14-Sep14),,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Contr Other External,NP - BNF,RPS PUBLISHING,17702555," 170,430.37 ",BNF printing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Furniture & Fittings,Office Move (Revenue costs),SENATOR INTERNATIONAL LTD,17667553," 56,939.44 ",Refurbishment of Manchester offices,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,CHAPS Control Account,Balance Sheet,SOFTWARE (EUROPE) LTD,17655933," 31,683.59 ",Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Contr Other External,NP -QOF,UNIVERSITY OF BIRMINGHAM,17655863," 62,500.00 ",Quality and Outcomes Framework (QOF) Piloting of Quality Indicators Year 2 Quarter 1,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Contr Other External,NP-CP Guidelines,VELINDRE NHS TRUST,17646052," 111,168.00 ",National Collaborting Centre for Cancer Q1 2014/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2014,Contr Other External,NP-CP Guidelines,VELINDRE NHS TRUST,17646053," 222,336.00 ",National Collaborting Centre for Cancer Q1 2014/15,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
