Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/07/2014,Contr Other External,NP - Evidence Resources,BAZIAN LTD,17585092," 62,284.80 ","Provision of Evidence Hubs, supplying specialist evidence content for NHS Evidence",,,,,
Department of Health,National Institute for Health & Care Excellence,31/07/2014,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,17627694," 212,333.40 ",Quarter 1 invoice - Medical technologies evaluation programme year 1 new contract,,,,,
Department of Health,National Institute for Health & Care Excellence,31/07/2014,Contr Other External,Fully Recovered: International Commercial Activity,CENTER FOR GLOBAL DEVELOPMENT,17594175," 22,429.79 ",International Decision support Initiative Project,,,,,
Department of Health,National Institute for Health & Care Excellence,31/07/2014,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,EBSCO INTERNATIONAL INC,17591500," 186,170.10 ","National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period April 2014 to March 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,31/07/2014,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INTERNATIONAL INC,17594176," 88,152.30 ",National subscription fees for Lancet medical journal,,,,,
Department of Health,National Institute for Health & Care Excellence,31/07/2014,Contr Other External,Fully Recovered: International Commercial Activity,HEALTH INTERVENTION & TECHNOLOGY ASSESSMENT PROGRAMME,17605040," 77,810.40 ",International Decision support Initiative,,,,,
Department of Health,National Institute for Health & Care Excellence,31/07/2014,Contr Other External,Fully Recovered: International Commercial Activity,HEALTH INTERVENTION & TECHNOLOGY ASSESSMENT PROGRAMME,17605041," 70,004.40 ",International decision support initiative,,,,,
Department of Health,National Institute for Health & Care Excellence,31/07/2014,Contr Other External,Fully Recovered: International Commercial Activity,IC CONSULTANTS LTD,17609016," 36,000.00 ",Piloting International Decision support initiative ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/07/2014,Contr Other External,Fully Recovered: International Commercial Activity,IC CONSULTANTS LTD,17630532," 48,000.00 ",Piloting International Decision support initiative ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/07/2014,Contr Other External,NP-IT,INSPIRED NETWORKS,17611397," 30,881.02 ",IT Support and Management contract ,,,,,
