Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,17830575,"333,704.88",Acces and Waiting Times NHSE Implmentation Q3,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Computer Software/License,NP - Commissioned Content,EDUSERV,17830678,"68,750.00",Provision of Athens service from 01/01/2016  to 31/03/2016,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Computer Software/License,NP - Commissioned Content,EDUSERV,17830685,"68,750.00",Provision of Athens service from 01/10/2015 to 31/12/2015,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17830690,"73,954.09",Service charge payment for office space at 10 Spring Gardens 01/10/2015-31/12/2015,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Contr Other External,NP - Medical Technologies Evaluation Programme,CARDIFF & VALE ULHB,17830732,"212,333.52",Quarter 4 Invoice - Medical technologies evaluation programme Year 2,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17884060,"51,706.66",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,"Books, Journals & Subscr",NP - National Core Content HEE,EBSCO INTERNATIONAL INC,17884099,"193,617.00","National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period April 2015 to March 2016",,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Contr Other External,NP - Social Care Guidance and QA,SOCIAL CARE INSTITUTE FOR EXCELLENCE,17913973,"479,646.30",NICE Collaborating Centre for Social Care quarter 4 2015/16,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Contr Other External,NP-HTE Appraisals,UNIVERSITY OF SHEFFIELD,17914175,"43,281.00",Extension of Contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Contr Other External,NP-HTE Appraisals,UNIVERSITY OF SHEFFIELD,17914187,"29,986.00",Extension of Contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Computer Hardware Purch,NP-IT,SPECIALIST COMPUTER CENTRES PLC,17914218,"30,924.00",Computer monitors for London office move,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2016,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,17914336,"388,944.00",National Collaborating Centre for Women?s and Children?s Health Quarter 4 2015/16,,,,,
