Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17775966," 193,121.92 ",Rent payment for office space at 10 Spring Gardens 29/09/14 - 24/12/14,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Contr Other External,NP - Commissioned Content - Core,CLARITY INFORMATICS LTD,17714399," 165,375.00 ",Evidence Based Resource for Primary Care Year 3 Quarter 1,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,CHAPS Control Account,Balance Sheet,DAC BEACHCROFT LLP,17746856," (56,239.54)","Final rent, service charge, electricity and rates re Liverpool office closure",,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Legal / Prof Fees,NP- Facilities - Liverpool,DAC BEACHCROFT LLP,17746856," 56,239.54 ","Final rent, service charge, electricity and rates re Liverpool office closure",,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,17769891," 29,117.84 ","Network and Data, including inter site telecoms supply to NICE?s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Contr Other External,NP-IT,INSPIRED NETWORKS,17717725," 32,356.25 ",IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Contr Other External,NP-IT,INSPIRED NETWORKS,17740475," 26,875.06 ",IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Furniture & Fittings,Office Move (Revenue costs),KIER CONSTRUCTION-NORTHERN,17714403," 129,727.33 ",Refurbishment of Manchester office ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Contr Other External,Fully Recovered: International Commercial Activity,METEOS LTD,17714395," 29,680.00 ",Piloting International decision support initiative,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Rent,NP- Facilities - Manchester,MJ MAPP LLP,17743170," 136,890.60 ","Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Rent,NP- Facilities - Manchester,MJ MAPP LLP,17743171," 117,975.00 ","Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Contr Other External,Fully Recovered: International Commercial Activity,OFFICE OF HEALTH ECONOMICS,17722902," 27,701.40 ",Piloting International decision support initiative,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Postage & Carriage,NP - BNF,PROMOTIONAL LOGISTICS LTD,17763646," 94,191.89 ",BNF distribution / mailing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2014,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17722898," 53,603.45 ",Hosting NHS Evidence website,,,,,
