Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/12/2015,"Books, Journals & Subscr",NP - National Core Content HEE,PROQUEST LLC,16746388,275013.75,Elecrtonic & Print Content,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Computer Maintenance,NP - IM&T,RACKSPACE LTD,16767413,51559.36,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,16778777,388944,National Collaborating Centre for Women?s and Children?s Health Quarter 3 2015/16,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,16796480,147310.34,"Rail, hotel & flight costs for October 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Contr Other External,NP-Finance,SOFTWARE (EUROPE) LTD,16796482,27513.6,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Postage & Carriage,NP - BNF,PROMOTIONAL LOGISTICS LTD,16811984,78030.91,BNF distribution / mailing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Postage & Carriage,NP - BNF,PROMOTIONAL LOGISTICS LTD,16812001,29092.47,BNF distribution / mailing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Postage & Carriage,NP - BNF,PROMOTIONAL LOGISTICS LTD,16812012,88268.13,BNF distribution / mailing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,"Books, Journals & Subscr",NP - National Core Content HEE,EBSCO INTERNATIONAL INC,16812058,193617,"National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period April 2015 to March 2016",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Contr Other External,NP-IT,INSPIRED NETWORKS,16828547,26306.46,IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Contr Other External,Fully Recovered: International Commercial Activity,HEALTH INTERVENTION & TECHNOLOGY ASSESSMENT PROGRAMME,16853107,33011.3,Final payment for staff costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Computer Maintenance,NP-IT,INSIGHT DIRECT (UK) LTD,16853147,52916.42,Hardware Support and Maintenance 1/11/15/-31/10/18,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Rent,NP- Facilities - Manchester,MJ MAPP LLP,16866627,136890.6,"Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Rent,NP- Facilities - Manchester,MJ MAPP LLP,16866639,117975,"Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Contr Other External,Fully Recovered: International Commercial Activity,ITAD LTD,16884021,48000,Monitoring and Evaluation of NICE International activities in context of the Health Partnership Scheme,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Contr Other External,Fully Recovered: International Commercial Activity,CENTER FOR GLOBAL DEVELOPMENT,16884194,85829.38,International Decision support Initiative Project,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,"Books, Journals & Subscr",NP - National Core Content HEE,BMJ PUBLISHING GROUP LTD,16901271,218281.5,Library service - access to BMJ Journals online,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,16967775,30430.67,"Network and Data, including inter site telecoms supply to NICE?s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2015,Contr Other External,NP - BNF,ROYAL PHARMACEUTICAL SOCIETY,16984702,985000,BNF Production and Delivery,,,,,
