Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Contr Other External,NP- PH Programmes,YHEC,17787168," 39,984.60 ",Evidence reviews & economic analysis to support Guidance on sunlight exposure,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Programme Support Costs,NP-HTE Appraisals,QUEENS UNIVERSITY BELFAST,17790111," 70,292.98 ",Chair of the Technology Appraisals committee from August 2013 - August 2014,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Course Fees,NP-HR,PROGRESS INTERNATIONAL LTD,17796546," 42,808.00 ",Management Development programme 2014,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Contr Other External,NP-HTE Appraisals,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,17803709," 55,783.62 ",NEWDIGS (New Drug Development Paradigns) Consortium ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Contr Other External,NP - Evidence Resources,BAZIAN LTD,17803762," 62,284.80 ","Provision of Evidence Hubs, supplying specialist evidence content for NHS Evidence",,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Contr Other External,NP - Social Care,SOCIAL CARE INSTITUTE FOR EXCELLENCE,17814188," 539,646.00 ",NICE Collaborating Centre for Social Care quarter 2 2014/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INTERNATIONAL INC,17814201," 88,152.30 ",National subscription fees for Lancet medical journal,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Contr Other External,NP-HTE Appraisals,UNIVERSITY OF SHEFFIELD,17820103," 50,000.00 ","Supply of Decision Support Unit, Quarter 1",,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Contr Other External,NP- PH Programmes,INSTITUTE OF EDUCATION,17823588," 30,000.00 ",Evidence review and supplementary analysis on Community engagement - Stream 1,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17826904," 122,649.20 ","Rail, hotel & flight costs for September 2014",,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Computer Software/License,NP - Commissioned Content - Core,EDUSERV,17830854," 68,750.00 ",Provision of Athens service from 01/07/2014  to 30/09/2014,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Contr Other External,NP-IT,INSPIRED NETWORKS,17837055," 27,458.45 ",IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,17845786," 212,333.40 ",Quarter 2 invoice - Medical technologies evaluation programme,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17845790," 58,854.18 ",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2014,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,BMJ PUBLISHING GROUP LTD,17845804," 210,900.00 ",Library service - access to BMJ Journals online,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
