Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
OFWAT,OFWAT,41392,Legal Consultancy,Legal Services,NORTON ROSE,20436,68609.07,
OFWAT,OFWAT,41394,Interim Managers,IPL,LUCERNA PARTNERS LTD,20321,32400,
OFWAT,OFWAT,41394,Legal Consultancy,Thames Tideway Project,NORTON ROSE,20266,49389.5,
OFWAT,OFWAT,41424,Legal Consultancy,Legal Services,NORTON ROSE,20481,68099.06,
OFWAT,OFWAT,41424,Technical Consultancy,IPL,ERNST & YOUNG LLP,20144,82608.82,
OFWAT,OFWAT,41425,Interim Managers,IPL,LUCERNA PARTNERS LTD,20383,25200,
OFWAT,OFWAT,41425,Legal Consultancy,Thames Tideway Project,NORTON ROSE,20335,29586,
OFWAT,OFWAT,41425,Legal Consultancy,Thames Tideway Project,NORTON ROSE,20399,29586,
OFWAT,OFWAT,41425,Operational Services,Transfer Pricing Team,MCCALLUM LAYTON,20173,29419.5,
OFWAT,OFWAT,41426,Rent & Building Insurance,Facilities Management,BRUNTWOOD 2000 BETA PORTFOLIO LTD,20342,68456.25,
OFWAT,OFWAT,41426,Rent & Building Insurance,Facilities Management,BRUNTWOOD 2000 BETA PORTFOLIO LTD,20344,30067.13,
OFWAT,OFWAT,41426,Service Charge,Facilities Management,BRUNTWOOD 2000 BETA PORTFOLIO LTD,20342,30768.5,
OFWAT,OFWAT,41436,Technical Consultancy,Thames Tideway Project,MOTT MACDONALD LTD,20317,33966.6,
OFWAT,OFWAT,41437,Financial Consultancy,Thames Tideway Project,PRICEWATERHOUSECOOPERS,20315,34730,
