Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,"VAT registration number
"
OFWAT,OFWAT,08/06/2015,Interim Staff,Non-Household Retail,PA CONSULTING SERVICES LTD,1103,25200.00,
OFWAT,OFWAT,14/05/2015,Interim Staff,Non-Household Retail,PA CONSULTING SERVICES LTD,1049,27000.00,
OFWAT,OFWAT,01/06/2015,Service Charge,Business Transformation Programme,BRUNTWOOD 2000 BETA PORTFOLIO LTD,1136,30028.75,
OFWAT,OFWAT,01/06/2015,Rent & Building Insurance,Business Transformation Programme,BRUNTWOOD 2000 BETA PORTFOLIO LTD,1134,30067.13,
OFWAT,OFWAT,29/05/2015,Operational Services,Strategy & Policy,OFCOM,1030,30206.00,
OFWAT,OFWAT,01/03/2015,Service Charge,Business Transformation Programme,COLLIERS INTERNATIONAL,966,49231.50,
OFWAT,OFWAT,01/06/2015,Service Charge,Business Transformation Programme,COLLIERS INTERNATIONAL,968,49231.50,
OFWAT,OFWAT,31/05/2015,Legal Consultancy,Non-Household Retail,MACLAY MURRAY & SPENS LLP,1293,50459.44,
OFWAT,OFWAT,01/06/2015,Rent & Building Insurance,Business Transformation Programme,BRUNTWOOD 2000 BETA PORTFOLIO LTD,1136,68456.25,
OFWAT,OFWAT,23/04/2015,Technical Consultancy,Thames Tideway,PRICEWATERHOUSECOOPERS,1063,82560.00,
OFWAT,OFWAT,01/03/2015,Rent & Building Insurance,Business Transformation Programme,COLLIERS INTERNATIONAL,966,138921.75,
OFWAT,OFWAT,01/06/2015,Rent & Building Insurance,Business Transformation Programme,COLLIERS INTERNATIONAL,968,138921.75,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
