Wales Office spend over £500,,Aug-10,,,,,

ENTITY,EXPENSE_AREA,PAYMENT_DATE,PAYMENT_NUMBER,SUPPLIER_NAME,INVOICE_AMOUNT,NAC_DESCRIPTION,Service provided
Wales Office,Wales Office,3/8/2010,1000825,EDUSERV TECHNOLOGIES LTD,679.15,IT Services incl Web Hosting,Web hosting for Wales Office websites
Wales Office,Wales Office,3/8/2010,1000824,CIVIC MAINTENANCE SERVICES LTD,852.44,Cleaning (excl Waste Collctn),Cleaning services for Cardiff office
Wales Office,Wales Office,5/8/2010,1000836,GOVERNMENT CAR & DESPATCH AGENCY,521.71,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,6/8/2010,1000841,GOVERNMENT CAR & DESPATCH AGENCY,944.7,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,6/8/2010,1000842,JONES YARRELL & CO LTD,863.14,Publications- incl. Online,Newspapers for London office
Wales Office,Wales Office,6/8/2010,1000839,CARLISLE SECURITY SERVICES LTD,10550.72,Security,24 hour Security for London office
Wales Office,Wales Office,9/8/2010,1000851,STRATAMATRIX LTD,998.75,Design/Print/Reprographic Services,Media monitoring
Wales Office,Wales Office,10/8/2010,1000854,GOVERNMENT CAR & DESPATCH AGENCY,596.21,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,10/8/2010,1000860,STRATAMATRIX LTD,620.13,Design/Print/Reprographic Services,Media monitoring
Wales Office,Wales Office,11/8/2010,1000864,DR. KAREN MCKIVOR,6870.85,Consultancy,Facilitation services on corporate change
Wales Office,Wales Office,8/17/2010,1000871,LANCASTER OFFICE CLEANING CO LTD,2450.5,Cleaning (excl Waste Collctn),Cleaning services for London office
Wales Office,Wales Office,8/18/2010,1000874,GOVERNMENT CAR & DESPATCH AGENCY,985.73,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,8/18/2010,1000873,BRITISH GAS BUSINESS,583.78,Utility - Electricity,Electricity supplied to London office
Wales Office,Wales Office,8/19/2010,1000878,GOVERNMENT CAR & DESPATCH AGENCY,13656.02,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,8/23/2010,1000884,CIVIC MAINTENANCE SERVICES LTD,852.44,Cleaning (excl Waste Collctn),Cleaning services for Cardiff office
Wales Office,Wales Office,8/25/2010,1000891,GOVERNMENT CAR & DESPATCH AGENCY,632.96,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,8/25/2010,1000891,GOVERNMENT CAR & DESPATCH AGENCY,601.31,Official Cars - Hire Charges,Ministerial car hire charges
