Wales Office spend over £500,,Sep-10,,,,,

ENTITY,EXPENSE_AREA,PAYMENT_DATE,PAYMENT_NUMBER,SUPPLIER_NAME,INVOICE_AMOUNT,NAC_DESCRIPTION,Service provided
Wales Office,Wales Office,9/21/2010,1000950,CALDER CONFERENCES LTD,578.86,Staff Subsistence Hotel,MOJ contract for hotel bookings
Wales Office,Wales Office,9/14/2010,1000931,CALDER CONFERENCES LTD,2255,Staff Subsistence Hotel,MOJ contract for hotel bookings
Wales Office,Wales Office,7/9/2010,1000910,NATWEST ,1663.71,T&S (Claim Forms Only),Wales Office corporate credit card charges 
Wales Office,Wales Office,9/29/2010,1000966,GOVERNMENT CAR & DESPATCH AGENCY,985.73,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,10/9/2010,1000924,GOVERNMENT CAR & DESPATCH AGENCY,2145.12,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,9/14/2010,1000932,GOVERNMENT CAR & DESPATCH AGENCY,944.7,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,9/14/2010,1000932,GOVERNMENT CAR & DESPATCH AGENCY,7353.56,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,7/9/2010,1000908,GOVERNMENT CAR & DESPATCH AGENCY,550.92,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,9/14/2010,1000934,STRATAMATRIX LTD,705,Design/Print/Reprographic Services,Media monitoring
Wales Office,Wales Office,9/14/2010,1000934,STRATAMATRIX LTD,998.75,Design/Print/Reprographic Services,Media monitoring
Wales Office,Wales Office,8/9/2010,1000916,CARLISLE SECURITY SERVICES LTD,10707.36,Security,24 hour Security for London office
Wales Office,Wales Office,9/23/2010,1000955,HM PRISON SERVICE,609.12,Furniture - under capitalisation threshold,MoJ contract providing Office furniture
Wales Office,Wales Office,8/9/2010,1000917,KNIGHT FRANK LLP,45057.87,Managing Agents Fees,Rent and service charges for Cardiff office
Wales Office,Wales Office,9/14/2010,1000930,BRITISH GAS BUSINESS,538.44,Utility - Electricity,Electricity supplied to London office
Wales Office,Wales Office,9/30/2010,1000972,TBS LTD (SOUTH WALES),578.11,Furniture - under capitalisation threshold,MoJ contract providing Office furniture
Wales Office,Wales Office,1/9/2010,1000902,EDUSERV TECHNOLOGIES LTD,679.15,IT Services incl Web Hosting,Web hosting for Wales Office websites
Wales Office,Wales Office,9/24/2010,1000958,DOD'S PARLIAMENTARY COMMUNICATIONS LTD,590,Publications- incl. Online,Parliamentary books
Wales Office,Wales Office,9/23/2010,1000954,CIVIC MAINTENANCE SERVICES LTD,852.44,Cleaning (excl Waste Collctn),Cleaning services for Cardiff office
Wales Office,Wales Office,9/17/2010,1000944,LANCASTER OFFICE CLEANING CO LTD,2450.5,Cleaning (excl Waste Collctn),Cleaning services for London office
