ENTITY,EXPENSE_AREA_1,PAYMENT DATE,PAYMENT NUMBER,SUPPLIER NAME,INVOICE AMOUNT,NAC DESCRIPTION,SERVICE SUPPLIED
Wales Office,Wales Office,05/Mar/2012 ,1000910,LANCASTER CLEANING AND SUPPORT SERVICES,"2,117.96",222152-Cleaning (excl Waste Collctn),Cleaning services for London office
Wales Office,Wales Office,29/Mar/2012 ,1001008,DTZ ,"2,165.85",222181-Managing Agents Fees,Managing Agents fees for 2010-11
Wales Office,Wales Office,16/Mar/2012 ,1000960,PRECISE MEDIA MONITORING LTD,958.33,223563-Press Cuttings Service,Press cuttings
Wales Office,Wales Office,21/Mar/2012 ,1000970,BROOK STREET (UK) LTD,537.24,212601-Agency Staff - admin,Agency staff costs
Wales Office,Wales Office,26/Mar/2012 ,1000985,GOVERNMENT CAR & DESPATCH AGENCY,804.00,223517-IDS,Government internal mail service
Wales Office,Wales Office,26/Mar/2012 ,1000983,CYMEN CYFYNGEDIG,960.00,223514-Translation Services,Translation Services
Wales Office,Wales Office,08/Mar/2012 ,1000932,GVA ,"1,395.00",222181-Managing Agents Fees,Managing agents fees for Cardiff Office
Wales Office,Wales Office,06/Mar/2012 ,1000916,CIVIC MAINTENANCE SERVICES LTD,595.48,222152-Cleaning (excl Waste Collctn),Cleaning services for Cardiff office
Wales Office,Wales Office,21/Mar/2012 ,1000973,MINISTRY OF JUSTICE,"28,594.14",222182-Mechanical & Electrical,Reimbursing MOJ for outstanding invoices from 2010-11
Wales Office,Wales Office,28/Mar/2012 ,1001005,MINISTRY OF JUSTICE,"5,048.09",223310-Liberata - Accounting Services,Accounting services with shared service provider
Wales Office,Wales Office,09/Mar/2012 ,1000938,EDUSERV TECHNOLOGIES LTD,578.00,223536-IT Services incl Web Hosting,Web hosting for Wales Office websites (February)
Wales Office,Wales Office,26/Mar/2012 ,1000984,EDUSERV TECHNOLOGIES LTD,578.00,223536-IT Services incl Web Hosting,Web hosting for Wales Office websites (March)
Wales Office,Commission on Devolution,30/Mar/2012 ,1001016,PUFFBOX LTD,"3,120.00",223536-IT Services incl Web Hosting,Design and set up of Commission website
Wales Office,Wales Office,30/Mar/2012 ,1001016,PUFFBOX LTD,"8,840.00",223536-IT Services incl Web Hosting,Design of Wales Office Intranet
Wales Office,Wales Office,20/Mar/2012 ,1000969,M J FERGUSON LTD,"18,563.80",222132-Building Maintenance Works,Accommodation works
Wales Office,Wales Office,08/Mar/2012 ,1000934,M J FERGUSON LTD,"2,993.62",222137-CIS Labour Build Maintenance Works,Monthly maintenance charge for London office
Wales Office,Wales Office,06/Mar/2012 ,1000919,M J FERGUSON LTD,"18,294.00",532602-TA GBV - Add-  Building Works - Assets In Course of Construction,Remeidial building work
Wales Office,Wales Office,20/Mar/2012 ,1000969,M J FERGUSON LTD,"55,456.00",222131-Building Improvement Works,Initial payment for replacement lift
Wales Office,Wales Office,26/Mar/2012 ,1000986,M J FERGUSON LTD,"2,194.60",532602-TA GBV - Add-  Building Works - Assets In Course of Construction,Reactive maintenance costs
Wales Office,Wales Office,28/Mar/2012 ,1001004,M J FERGUSON LTD,"14,760.97",222132-Building Maintenance Works,Accommodation works
Wales Office,Wales Office,30/Mar/2012 ,6004,SWANSEA VALLEY MINERS' APPEAL FUND,"125,478.70",Charitable donations,Government commitment to contribute to ensuring charity did not lose out in terms of gift aid whilst it sought charitable status
